level,position,tech_stack,experience,gender,company,company_size,work_type,city,currency,salary,raise_period
2,53,1247,4,0,2,4,0,70,3,83,2
1,40,449,1,1,23,6,2,70,3,21,1
1,2,3,1,0,6,4,2,70,3,42,1
2,22,57,2,0,23,4,1,40,3,52,2
0,22,449,0,1,2,4,2,70,3,18,2
1,34,1385,1,0,27,3,2,70,3,34,2
1,22,3,6,1,23,4,0,70,3,31,2
2,28,3,4,0,6,4,0,70,3,89,2
2,22,862,2,0,2,4,0,70,3,17,4
2,53,3,6,0,27,3,2,70,3,50,2
1,22,1128,1,0,34,1,2,101,3,30,2
2,48,1356,3,0,23,4,0,70,3,56,2
2,31,934,6,1,6,4,2,70,3,45,2
2,31,682,6,0,23,4,2,70,3,38,1
0,3,808,1,0,34,3,2,70,3,16,2
1,2,3,4,0,23,3,2,40,3,27,2
2,47,1412,4,0,23,4,0,70,3,38,2
2,2,3,7,0,2,4,2,70,1,22,1
2,34,1392,6,0,2,2,1,70,3,51,2
0,21,890,0,0,34,5,2,70,3,20,2
1,21,912,6,0,23,4,0,70,3,51,2
1,21,1335,1,1,41,1,1,40,3,18,2
1,33,688,1,0,2,4,0,40,3,37,2
2,19,372,6,0,34,6,1,40,3,71,2
0,33,405,0,0,23,4,2,70,3,25,2
2,22,87,7,0,23,4,0,70,3,46,2
2,22,1219,3,0,23,3,2,40,3,38,1
2,31,934,6,0,27,2,2,70,3,45,2
1,10,3,2,0,23,2,4,70,3,3,2
2,47,449,7,0,2,4,0,40,3,74,2
2,2,452,6,0,23,4,0,70,3,38,2
1,37,395,6,1,6,4,0,70,3,41,1
1,22,671,1,0,23,4,0,70,3,34,4
2,10,1247,4,0,41,3,0,70,3,30,1
0,21,886,0,0,34,0,1,70,3,20,1
2,40,714,2,0,23,4,1,70,3,85,2
1,2,449,6,0,23,2,2,70,3,45,1
0,22,1349,0,0,34,1,0,70,3,1,1
2,2,57,3,0,23,4,0,70,3,47,1
2,32,405,5,0,34,3,2,70,3,39,1
2,53,1106,6,0,23,4,1,70,3,47,2
0,21,886,0,0,22,2,0,70,3,4,3
0,2,3,1,0,23,4,2,41,3,18,2
1,2,3,5,0,23,4,2,70,3,32,1
1,24,335,1,0,23,2,0,70,3,51,2
0,17,452,1,0,23,6,0,71,3,20,2
2,22,506,4,0,23,4,1,70,3,50,2
2,22,153,6,0,23,3,1,40,3,34,2
2,53,542,6,0,41,4,2,70,3,36,2
2,39,309,7,0,2,4,0,70,3,83,2
0,22,57,0,0,23,4,0,70,3,13,1
1,21,1335,5,0,23,1,0,40,3,29,1
1,5,918,5,0,2,6,2,40,3,23,2
0,52,326,7,1,35,3,0,77,3,7,2
2,22,1103,5,0,23,6,0,70,3,32,2
2,48,627,3,0,41,2,4,70,3,57,2
2,38,1103,4,0,6,1,2,13,0,44,1
1,2,449,1,0,23,4,2,85,3,27,1
2,19,1252,7,0,23,4,0,70,3,61,1
2,22,3,6,0,41,1,1,40,3,37,1
2,21,1024,7,0,27,6,2,41,3,39,1
2,2,3,7,0,6,4,0,70,3,50,1
2,2,449,7,0,2,4,0,70,3,9,2
2,47,449,4,0,23,4,2,70,3,59,3
2,53,1274,7,0,34,3,4,70,3,83,2
